image_path,crop1,label1,crop2,label2
/data/nagpur_data/imgs/maize/ZARS_1_0701_1.png,maize,['Fall_armyworm'],maize,['Fall_Armyworm']
/data/nagpur_data/imgs/maize/ZARS_1_0701_10.png,maize,['Fall_armyworm'],maize,['Fall_Armyworm']
/data/nagpur_data/imgs/maize/ZARS_1_0701_11.png,maize,['Healthy'],maize,['Healthy']
/data/nagpur_data/imgs/maize/ZARS_1_0701_12.png,maize,['Fall_armyworm'],maize,['Turcicum_Leaf_Blight']
/data/nagpur_data/imgs/maize/ZARS_1_0701_14.png,maize,['Others'],maize,"['Turcicum_Leaf_Blight', 'Others']"
/data/nagpur_data/imgs/maize/ZARS_1_0701_15.png,maize,['Healthy'],maize,['Leaf_beetle']
/data/nagpur_data/imgs/maize/ZARS_1_0701_16.png,maize,['Fall_armyworm'],maize,['Fall_Armyworm']
/data/nagpur_data/imgs/maize/ZARS_1_0701_18.png,maize,['Healthy'],maize,['Streak']
/data/nagpur_data/imgs/maize/ZARS_1_0701_19.png,maize,"['Fall_armyworm', 'Leaf_blight']",maize,['Stem_Borer']
/data/nagpur_data/imgs/maize/ZARS_1_0701_2.png,maize,['Fall_armyworm'],maize,['Fall_Armyworm']
/data/nagpur_data/imgs/maize/ZARS_1_0701_20.png,maize,"['Leaf_blight', 'Streak', 'Others']",maize,['Streak']
/data/nagpur_data/imgs/maize/ZARS_1_0701_21.png,maize,['Healthy'],maize,['Healthy']
/data/nagpur_data/imgs/maize/ZARS_1_0701_22.png,maize,['Leaf_blight'],maize,['Turcicum_Leaf_Blight']
/data/nagpur_data/imgs/maize/ZARS_1_0701_23.png,maize,"['Leaf_blight', 'Streak']",maize,['Maydis_Leaf_Blight']
/data/nagpur_data/imgs/maize/ZARS_1_0701_24.png,maize,"['Fall_armyworm', 'Leaf_spot']",maize,['Fall_Armyworm']
/data/nagpur_data/imgs/maize/ZARS_1_0701_25.png,maize,['Fall_armyworm'],maize,['Fall_Armyworm']
/data/nagpur_data/imgs/maize/ZARS_1_0701_26.png,maize,['Fall_armyworm'],maize,['Stem_Borer']
/data/nagpur_data/imgs/maize/ZARS_1_0701_27.png,maize,['Fall_armyworm'],maize,['Stem_Borer']
/data/nagpur_data/imgs/maize/ZARS_1_0701_28.png,maize,['Fall_armyworm'],maize,['Fall_Armyworm']
/data/nagpur_data/imgs/maize/ZARS_1_0701_29.png,maize,"['Fall_armyworm', 'Leaf_blight']",maize,"['Fall_Armyworm', 'Turcicum_Leaf_Blight']"
/data/nagpur_data/imgs/maize/ZARS_1_0701_3.png,maize,['Fall_armyworm'],maize,['Fall_Armyworm']
/data/nagpur_data/imgs/maize/ZARS_1_0701_30.png,maize,['Others'],maize,"['Healthy', 'Others']"
/data/nagpur_data/imgs/maize/ZARS_1_0701_31.png,maize,['Rust'],maize,['Leaf_spot']
/data/nagpur_data/imgs/maize/ZARS_1_0701_32.png,maize,['Leaf_blight'],maize,['Turcicum_Leaf_Blight']
/data/nagpur_data/imgs/maize/ZARS_1_0701_33.png,maize,['Others'],maize,"['Streak', 'Turcicum_Leaf_Blight']"
/data/nagpur_data/imgs/maize/ZARS_1_0701_34.png,maize,['Leaf_blight'],maize,['Turcicum_Leaf_Blight']
/data/nagpur_data/imgs/maize/ZARS_1_0701_35.png,maize,"['Fall_armyworm', 'Others']",maize,['Healthy']
/data/nagpur_data/imgs/maize/ZARS_1_0701_36.png,maize,['Fall_armyworm'],maize,['Fall_Armyworm']
/data/nagpur_data/imgs/maize/ZARS_1_0701_37.png,maize,['Others'],maize,['Others']
/data/nagpur_data/imgs/maize/ZARS_1_0701_38.png,maize,['Leaf_blight'],maize,['Leaf_spot']
/data/nagpur_data/imgs/maize/ZARS_1_0701_39.png,maize,['Leaf_blight'],maize,['Turcicum_Leaf_Blight']
/data/nagpur_data/imgs/maize/ZARS_1_0701_4.png,maize,['Fall_armyworm'],maize,['Fall_Armyworm']
/data/nagpur_data/imgs/maize/ZARS_1_0701_40.png,maize,['Leaf_blight'],maize,['Turcicum_Leaf_Blight']
/data/nagpur_data/imgs/maize/ZARS_1_0701_41.png,maize,['Rust'],maize,['Healthy']
/data/nagpur_data/imgs/maize/ZARS_1_0701_42.png,maize,['Leaf_blight'],maize,['Turcicum_Leaf_Blight']
/data/nagpur_data/imgs/maize/ZARS_1_0701_43.png,maize,['Leaf_blight'],maize,"['Leaf_beetle', 'Turcicum_Leaf_Blight']"
/data/nagpur_data/imgs/maize/ZARS_1_0701_44.png,maize,['Fall_armyworm'],maize,['Stem_Borer']
/data/nagpur_data/imgs/maize/ZARS_1_0701_45.png,maize,['Rust'],maize,['Turcicum_Leaf_Blight']
/data/nagpur_data/imgs/maize/ZARS_1_0701_46.png,maize,['Leaf_spot'],maize,['Leaf_spot']
/data/nagpur_data/imgs/maize/ZARS_1_0701_47.png,maize,['Others'],maize,['Healthy']
/data/nagpur_data/imgs/maize/ZARS_1_0701_48.png,maize,['Healthy'],maize,['Leaf_spot']
/data/nagpur_data/imgs/maize/ZARS_1_0701_5.png,maize,['Fall_armyworm'],maize,['Fall_Armyworm']
/data/nagpur_data/imgs/maize/ZARS_1_0701_6.png,maize,['Others'],maize,['Healthy']
/data/nagpur_data/imgs/maize/ZARS_1_0701_7.png,maize,['Fall_armyworm'],maize,['Fall_Armyworm']
/data/nagpur_data/imgs/maize/ZARS_1_0701_8.png,maize,['Fall_armyworm'],maize,['Fall_Armyworm']
/data/nagpur_data/imgs/maize/ZARS_1_0701_9.png,maize,['Fall_armyworm'],maize,['Fall_Armyworm']
/data/nagpur_data/imgs/maize/ZARS_2_0701_1.png,maize,['Fall_armyworm'],maize,['Stem_Borer']
